date,year,month,business,restricted_economy,best_discount
2019-02-01,2019,2,89.88405475106576,102.30654458051391,59.88901141035643
2019-03-01,2019,3,91.43714456406077,102.69661886932344,60.83879896910799
2019-04-01,2019,4,84.76883296320997,102.792455315427,75.81142722720155
2019-05-01,2019,5,83.92832430254452,102.2403328797032,55.92870649459601
2019-06-01,2019,6,83.71431810787185,103.03606811533456,64.5452247280542
2019-07-01,2019,7,83.0911502633407,102.37792100537574,60.52588970029206
2019-08-01,2019,8,72.25928921878887,102.16148802990422,58.00521206868238
2019-09-01,2019,9,83.59322750831649,102.78417538995095,68.16386779468726
2019-10-01,2019,10,83.00220367694924,101.11489303446564,61.356031036330805
2019-11-01,2019,11,82.14405856076165,100.90180409497668,63.48358572040127
2019-12-01,2019,12,81.2959495516132,102.15600999251356,88.57896169470841
2020-01-01,2020,1,81.90238995124442,100.54107150932481,61.286825502382634
2020-02-01,2020,2,79.31018157377545,101.42634829390266,62.14462883644008
2020-03-01,2020,3,81.80759949822136,101.83867633094019,83.53610850571648
2020-04-01,2020,4,100.30597645583865,114.47941398246209,85.5370519675041
2020-05-01,2020,5,90.59213764389737,115.57544990056067,84.42942088673975
2020-06-01,2020,6,91.40794347085013,116.29615740003727,91.94040524810754
2020-07-01,2020,7,83.45035018856976,106.2352557895587,75.01697491199727
2020-08-01,2020,8,96.6841976521848,109.6930501415457,81.58400374506984
2020-09-01,2020,9,89.23698949826608,109.8372261349506,79.79738933662223
2020-10-01,2020,10,91.86312168498094,108.14004577081124,75.13828737931716
2020-11-01,2020,11,77.45874691489794,104.88046275244095,79.9363758974808
2020-12-01,2020,12,70.11197732337925,100.18409660766952,78.40740703083186
2021-01-01,2021,1,70.11397508605306,99.51792774206609,65.65881937871106
2021-02-01,2021,2,70.11397508605306,98.58364068402993,61.86930746463925
2021-03-01,2021,3,70.74520416120929,93.4021306582386,64.11270584080337
2021-04-01,2021,4,65.27786232189247,75.58062882408673,57.0439368834981
2021-05-01,2021,5,64.64737466127802,71.53801451271205,62.6015965474927
2021-06-01,2021,6,64.68562539307452,71.74199409727147,59.61651195919961
2021-07-01,2021,7,48.29049745397187,69.88071267703695,50.3193869643113
2021-08-01,2021,8,47.01582200917303,71.66007902010864,56.70830163704571
2021-09-01,2021,9,53.57590253578239,72.00084845648584,73.91492090370514
2021-10-01,2021,10,44.26951851678041,69.06479486655405,63.75435599242488
2021-11-01,2021,11,48.6657220457132,68.29594399585642,58.90764277957846
2021-12-01,2021,12,39.844028109966565,71.45623518835592,58.23282263080541
2022-01-01,2022,1,54.57907425548859,72.5871412096088,54.0476171048967
2022-02-01,2022,2,55.023356492623094,71.68647488903665,55.915302519848375
2022-03-01,2022,3,46.1430864191759,68.45725992141318,73.5186088459642
2022-04-01,2022,4,46.53038880097,68.82834077248476,47.376629590600345
2022-05-01,2022,5,46.04139669866854,68.51390564434351,57.63342723484345
2022-06-01,2022,6,46.91275014755258,71.13722597517436,64.86263221163217
2022-07-01,2022,7,51.20138518625378,69.87262917096974,60.878040622139046
2022-08-01,2022,8,54.49984552619186,73.24975479339952,72.84278990633452
2022-09-01,2022,9,68.0010698025899,81.61231431735366,106.13978096860968
2022-10-01,2022,10,57.61333901655206,76.80222788778103,86.7781077125633
2022-11-01,2022,11,61.89060589914849,82.17335158739486,97.77193814792777
2022-12-01,2022,12,62.03949248611589,89.35519462380695,111.34254431462735
2023-01-01,2023,1,56.85440527967482,80.14423399031945,73.1392714859784
2023-02-01,2023,2,58.350558736829164,80.61845869401155,73.72570868946111
2023-03-01,2023,3,60.629310963225,80.37293284122002,77.62878030924192
2023-04-01,2023,4,61.871632780079686,80.65695051784186,61.307019566842534
2023-05-01,2023,5,54.82872273073396,80.16536617480256,63.60586336294227
2023-06-01,2023,6,59.11344467971728,81.13934657561653,70.16752435545632
2023-07-01,2023,7,57.164888873604,80.6496059767274,63.059077777214334
2023-08-01,2023,8,57.45007668641653,76.22181662023,62.01296427416941
2023-09-01,2023,9,52.06650036601329,80.83462339888187,68.22868916055796
2023-10-01,2023,10,51.67388781965147,80.59780284195983,66.54700790902623
2023-11-01,2023,11,52.75574424279725,82.96365682413698,76.02611925344236
2023-12-01,2023,12,56.95665555636815,85.56360754291917,91.96950685429934
2024-01-01,2024,1,53.469125911718656,81.37617425633245,64.07706437483488
2024-02-01,2024,2,53.268471329709946,82.68573594436663,61.15422994577851
2024-03-01,2024,3,53.67855354412701,85.15258663392031,82.70727122102974
2024-04-01,2024,4,58.26679202435643,82.30633128495121,59.96116498912741
2024-05-01,2024,5,61.242497861914416,87.0438205714855,56.481849339209035
2024-06-01,2024,6,61.71631696837361,81.715701833654,60.044573386427615
2024-07-01,2024,7,62.83855909927409,81.73568018792045,57.797456040991214
2024-08-01,2024,8,64.21712245338381,93.80280595786044,58.6820077478959
2024-09-01,2024,9,64.1525674612193,94.13474859345884,70.4630452663817
2024-10-01,2024,10,69.71080677929828,94.93098881134458,70.31834616528145
