date,year,month,fare_class,index_value
2019-07-01,2019,7,Restricted Economy,102.37792100537574
2019-08-01,2019,8,Restricted Economy,102.16148802990422
2019-09-01,2019,9,Restricted Economy,102.78417538995096
2019-10-01,2019,10,Restricted Economy,101.11489303446564
2019-11-01,2019,11,Restricted Economy,100.90180409497668
2019-12-01,2019,12,Restricted Economy,102.15600999251356
2020-01-01,2020,1,Restricted Economy,100.5410715093248
2020-02-01,2020,2,Restricted Economy,101.42634829390266
2020-03-01,2020,3,Restricted Economy,101.8386763309402
2020-04-01,2020,4,Restricted Economy,114.47941398246208
2020-05-01,2020,5,Restricted Economy,115.57544990056068
2020-06-01,2020,6,Restricted Economy,116.29615740003727
2020-07-01,2020,7,Restricted Economy,106.2352557895587
2020-08-01,2020,8,Restricted Economy,109.6930501415457
2020-09-01,2020,9,Restricted Economy,109.8372261349506
2020-10-01,2020,10,Restricted Economy,108.14004577081124
2020-11-01,2020,11,Restricted Economy,104.88046275244096
2020-12-01,2020,12,Restricted Economy,100.18409660766952
2021-01-01,2021,1,Restricted Economy,99.51792774206608
2021-02-01,2021,2,Restricted Economy,98.58364068402992
2021-03-01,2021,3,Restricted Economy,93.4021306582386
2021-04-01,2021,4,Restricted Economy,75.58062882408673
2021-05-01,2021,5,Restricted Economy,71.53801451271205
2021-06-01,2021,6,Restricted Economy,71.74199409727147
2021-07-01,2021,7,Restricted Economy,69.88071267703695
2021-08-01,2021,8,Restricted Economy,71.66007902010864
2021-09-01,2021,9,Restricted Economy,72.00084845648584
2021-10-01,2021,10,Restricted Economy,69.06479486655405
2021-11-01,2021,11,Restricted Economy,68.29594399585642
